N:10880
M:79988
Fixing indices with minimum=1
Unique M:79988
Generating order...
---------------------------
No vertices is 10880
No edges is 79988
---------------------------
Min deg: 0
Max deg: 103
Avg deg: 7.35184
---------------------------
# deg 0: 4
# deg 1: 2467
# deg 2: 1439
# deg 3: 804
---------------------------
# deg>=32: 95
# deg>=64: 6
# deg>=128: 0
# deg>=256: 0
# deg>=512: 0
# deg>=1024: 0
---------------------------

Running with 32 threads 
largest component graph obtained with 10876 vertices 79988 edges -- 79988
starting degree computation
Deg-cent is computed in 3.14489e-05 seconds
Ordering based on degree...
Constructed BP Labels in 0.0115712 seconds
Preprocessing: 0.0153939 seconds
Memory Allocations: 0.270299 seconds
Total Initial Memory: 6189 MB
Init. Data Structures: 0.000514612 seconds
Level 0: 2.46204e-05 seconds
Level 1: 0.0107587 seconds
u=6693, cache_time=25208, prune_time=180284, alloc_time=5914380, write_time=3231226 
u=7760, cache_time=3405, prune_time=103209, alloc_time=7742511, write_time=975762 
u=6020, cache_time=9576, prune_time=2827645, alloc_time=2161277, write_time=5134355 
u=8280, cache_time=9397, prune_time=133045, alloc_time=5791312, write_time=2268534 
u=6015, cache_time=6870, prune_time=362829, alloc_time=7449153, write_time=5054482 
u=7409, cache_time=206267, prune_time=5531161, alloc_time=1343683, write_time=3577266 
u=7694, cache_time=3599, prune_time=51673, alloc_time=8434762, write_time=718077 
u=8930, cache_time=71749, prune_time=355515, alloc_time=12844931, write_time=653170 
u=8082, cache_time=382341, prune_time=1607641, alloc_time=5240390, write_time=595705 
u=8372, cache_time=3398, prune_time=887005, alloc_time=6614305, write_time=3351900 
u=6290, cache_time=13934, prune_time=123249, alloc_time=13837086, write_time=546991 
u=6110, cache_time=7313, prune_time=104512, alloc_time=9481416, write_time=554766 
u=6678, cache_time=12998, prune_time=174828, alloc_time=13661873, write_time=456509 
u=6976, cache_time=6421, prune_time=21621, alloc_time=9558980, write_time=738387 
u=6505, cache_time=10830, prune_time=62936, alloc_time=14680564, write_time=10148 
u=5162, cache_time=5016, prune_time=27957, alloc_time=16287623, write_time=3680 
u=7226, cache_time=3365, prune_time=45522, alloc_time=14175086, write_time=8669 
u=7252, cache_time=7690, prune_time=26001, alloc_time=10236131, write_time=902069 
u=7704, cache_time=369831, prune_time=1220904, alloc_time=7117765, write_time=704949 
u=7672, cache_time=7611, prune_time=609364, alloc_time=13647134, write_time=101976 
